,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
75,Saudi Arabia,"753,921",+99,"9,086",+1,"741,540",+151,"3,295",45,"21,058",254,"41,883,167","1,169,830","35,802,769"
76,Sri Lanka,"663,329",+28,"16,504",,"646,121",+3,704,,"30,742",765,"6,486,117","300,603","21,577,036"
77,Paraguay,"649,455",+421,"18,870",+3,"624,673",,"5,912",2,"89,060","2,588","2,623,300","359,733","7,292,354"
78,Kuwait,"631,409",,"2,555",,"628,090",,764,8,"143,968",583,"8,007,805","1,825,861","4,385,769"
79,Myanmar,"612,864",+21,"19,434",,"591,794",,"1,636",,"11,128",353,"7,946,399","144,283","55,075,204"
80,Palestine,"581,940",,"5,353",,"576,242",,345,17,"109,435","1,007","3,078,533","578,927","5,317,654"
81,Dominican Republic,"579,248",,"4,376",,"574,601",,271,6,"52,438",396,"3,274,131","296,399","11,046,352"
82,Estonia,"571,917",+292,"2,538",+1,"510,350",+608,"59,029",3,"430,608","1,911","3,324,537","2,503,111","1,328,162"
83,Bahrain,"568,367",+379,"1,475",,"563,473",+485,"3,419",3,"314,122",815,"9,718,604","5,371,225","1,809,383"
84,Venezuela,"522,305",+34,"5,708",+1,"515,666",+13,931,230,"18,463",202,"3,359,014","118,739","28,288,977"
85,Moldova,"516,986",,"11,489",,"504,142",,"1,355",49,"128,704","2,860","3,216,305","800,701","4,016,861"
